Filename	Data	text				
ref_and	128, 76, 128, 44, 128, 30, 128, 36, 128, 12, 44, 128, 41, 128, 54, 128, 20, 128, 14, 3, 128, 82, 6, 50, 128, 2, 42, 2, 9, 1, 28, 128, 66, 128, 6, 50, 128, 44, 1, 128, 16, 128, 48, 7, 3, 128, 45, 128, 29, 128, 52, 128, 38, 5, 128, 38, 6, 14, 72, 2, 99, 128, 58, 13, 128, 1, 31, 128, 67, 128, 43, 128	so d i by d t is positive or negative depends on instantanious value of e and				
ref_and	128, 63, 128, 7, 128, 62, 128, 106, 128, 2, 9, 1, 79, 128, 3, 128, 3, 33, 6, 93, 128, 18, 1, 128, 50, 128, 9, 128, 34, 14, 65, 128, 119, 128, 61, 128, 2, 33, 128, 46, 128, 82, 21, 33, 128, 12, 2, 99, 128, 58, 13, 128, 62, 128, 31, 128, 2, 23, 128, 2, 43, 128, 2, 9, 128, 2, 21, 128, 101, 128, 29, 128, 34, 4, 128, 24, 5, 128, 10, 18, 4, 128, 15, 1	codes not necessarily seven four but for arbitrary values of k  and n right in fact the same				
ref_and	128, 54, 128, 44, 128, 48, 128, 3, 128, 29, 128, 2, 128, 19, 128, 44, 128, 48, 128, 3, 1, 128, 29, 128, 2, 128, 19, 128, 30, 128, 27, 128, 43, 128, 45, 128, 93, 128, 30, 128, 27, 128, 8, 128, 33, 128, 71, 128, 14, 28, 128, 59, 128, 58, 128, 63, 128, 15, 128, 16, 128, 11, 128, 6, 128, 15, 128, 77, 128, 31, 128, 26, 128, 54, 128, 8, 128, 18, 128, 32, 128, 49, 128, 17, 128, 9, 128, 18, 1, 128, 5, 128, 2, 128, 122, 1, 128, 60, 128	is dens in h dense in h if and only if aarthogonal compliment of m is a single ton set zero				
ref_and	128, 8, 128, 19, 128, 43, 128, 85, 9, 128, 12, 128, 41, 128, 6, 15, 128, 62, 128, 57, 128, 26, 128, 101, 128, 109, 128	ah and many times you might have				
ref_and	128, 2, 13, 16, 128, 108, 128, 45, 128, 1, 128, 84, 128, 16, 128, 22, 128, 66, 128, 32, 128, 18, 12, 52, 128, 1, 15, 128, 43, 128, 108, 128, 10, 128, 18, 128, 4, 15, 128, 1, 128, 70, 128, 21, 128, 7, 128, 37, 128, 33, 128, 1, 128, 43, 128, 44, 6, 128, 27, 128, 27, 128, 22, 128, 77, 128, 18, 1, 128, 5, 128, 31, 128, 2, 11, 4, 12, 128, 22, 128, 3, 128, 31, 128, 76, 128, 27, 128, 5, 37, 128, 33, 128, 1, 128, 57, 128, 111, 128, 109, 128, 8, 128, 9, 128, 14, 128, 71, 22, 128, 84, 128, 16, 128, 22, 128, 66, 128, 32, 128, 12, 52, 128, 1, 15, 128	up with one operating system and with the same hardware and different set of layers of software you can have another operatingystem				
ref_and	128, 94, 21, 13, 24, 128, 5, 65, 128, 1, 128, 31, 128, 84, 128, 65, 128, 18, 128, 77, 128, 48, 128, 79, 128, 3, 128, 76, 128, 35, 128, 19, 128, 22, 1, 128, 112, 128, 54, 128, 2, 62, 128, 3, 128, 77, 128, 6, 128, 58, 128, 61, 128, 2, 128, 72, 128, 54, 128, 10, 128, 20, 25, 128, 7, 128, 87, 128, 66, 128, 1, 128, 43, 128, 10, 128, 69, 128, 11, 4, 128, 97, 128, 3, 128	structure of our sentences so where what is essential for us is the predicate and the relations				
ref_even 	128, 35, 19, 1, 71, 128, 22, 128, 10, 128, 12, 128, 67, 128, 50, 9, 128, 30, 128, 27, 57, 128, 116, 128, 41, 128, 1, 55, 128, 10, 128, 15, 128, 80, 128, 2, 12, 128, 62, 128, 10, 128, 3, 1, 128, 8, 25, 128, 106, 128, 10, 128, 107, 14, 7, 128, 26, 1, 128, 71, 128, 14, 7, 128, 3, 128, 67, 128, 6, 71, 128, 22, 128, 10, 12, 90, 128, 106, 128, 41, 128, 109, 128	whether they even if you will tell them that yes these are not the good methods either they do not t have				
ref_even 	128, 36, 6, 28, 128, 28, 22, 128, 76, 128, 15, 1, 5, 128, 6, 128, 15, 128, 62, 128, 67, 128, 50, 128, 9, 128, 8, 128, 104, 128, 28, 128, 48, 128, 34, 4, 128, 24, 128, 5, 42, 128, 36, 6, 28, 128, 28, 128, 22, 128, 86, 128, 38, 128, 36, 14, 128, 103, 128, 69, 128, 16, 25, 128, 3, 128, 77, 128, 4, 128, 97, 128, 43, 128, 8, 128, 9, 128, 14, 71, 22, 128, 20, 128, 33, 128, 4, 128, 15, 128, 1, 128, 102, 128	bigger sometimes even a logen factor bigger than box representation and another parameter				
ref_even 	128, 8, 11, 3, 14, 128, 64, 128, 111, 128, 2, 51, 4, 128, 98, 128, 1, 128, 119, 128, 112, 128, 74, 128, 8, 25, 128, 69, 128, 27, 22, 21, 32, 128, 17, 128, 54, 128, 8, 9, 128, 8, 128, 89, 128, 4, 28, 1, 128, 67, 128, 52, 128, 6, 128, 15, 128, 66, 128, 1, 128, 67, 128, 50, 128, 9, 128, 108, 128, 40, 128	also it can change but what we are referring to is an average estimate even within				
ref_even 	128, 67, 128, 50, 128, 9, 128, 30, 27, 128, 57, 128, 70, 128, 7, 128, 7, 128, 85, 128, 102, 128, 6, 128, 58, 128, 114, 128, 9, 128, 11, 128, 40, 128, 1, 128, 33, 128, 82, 128, 12, 128, 64, 128, 116, 128, 106, 128, 2, 51, 128, 4, 98, 128, 1, 128, 35, 128, 2, 128, 11, 128, 36, 128, 12, 128, 34, 14, 128, 65, 128, 69, 128, 15, 4, 40, 128, 3, 128, 35, 128, 11, 128, 36, 128, 12, 128, 34, 14, 65, 128	even if you hadd material nonlinearity it will not change w l by four remains wl by four				
ref_even 	128, 117, 128, 23, 1, 128, 17, 128, 2, 51, 128, 4, 98, 128, 1, 128, 10, 128, 67, 128, 103, 128, 6, 128, 52, 128, 32, 128, 18, 128, 11, 128, 14, 16, 128, 1, 17, 128, 8, 9, 128, 14, 71, 128, 22, 128, 18, 128, 11, 14, 128, 16, 1, 128, 76, 128, 29, 128, 80, 128, 47, 128, 4, 3, 128, 1, 128, 111, 128, 57, 128, 111, 128, 67, 128, 50, 128, 9, 128, 86, 128, 40, 128, 23, 128, 31, 128, 20, 60, 128, 105, 128, 7, 128, 32, 128, 8, 128, 18, 128, 11, 14, 16, 1	like to change the existing slope to another slope so in that case can you can even think of providing a slope				
ref_even 	94, 128, 78, 128, 24, 5, 93, 128, 18, 128, 16, 1, 128, 4, 23, 128, 32, 128, 67, 128, 50, 9, 128, 10, 128, 2, 9, 128, 66, 128, 65, 1, 128, 31, 128, 2, 126, 13, 128, 38, 128, 5, 128, 6, 128, 3, 128, 22, 128, 80, 128, 30, 128, 2, 128, 72, 128, 1, 128, 88, 14, 13, 11, 7, 56, 128, 44, 1, 128, 16, 128, 48, 7, 128, 77, 128, 45, 128, 112, 128, 2, 23, 128, 40, 7, 128	strictly speaking even the nature of quantiser that i use should be dependent on what kind				
ref_find	128, 76, 128, 10, 128, 36, 4, 3, 128, 87, 128, 30, 128, 7, 1, 128, 4, 128, 54, 128, 10, 128, 44, 128, 62, 6, 28, 9, 128, 26, 1, 128, 38, 128, 3, 128, 41, 21, 12, 32, 128, 17, 128, 34, 128, 40, 7, 128, 125, 128, 10, 128, 2, 21, 128, 101, 128, 8, 128, 9, 3, 37, 22, 128, 61, 128, 8, 128, 68, 6, 50, 9, 128	so the basic idea is the design means trying to find out the right answer for a given				
ref_find	128, 20, 33, 5, 128, 87, 13, 11, 33, 128, 68, 128, 73, 128, 16, 19, 128, 121, 128, 10, 128, 41, 128, 12, 16, 128, 1, 128, 31, 128, 68, 73, 128, 16, 19, 128, 74, 128, 68, 128, 1, 128, 5, 128, 74, 128, 41, 21, 128, 12, 128, 17, 128, 34, 128, 40, 128, 7, 128, 125, 128, 74, 128, 2, 23, 9, 128, 100, 128, 2, 91, 128, 76, 128, 74, 128	particular graph from the type of graph we get we try to find out we know j so we				
ref_find	128, 8, 9, 67, 128, 103, 128, 22, 128, 24, 128, 6, 128, 3, 128, 1, 128, 57, 128, 116, 128, 34, 128, 40, 7, 128, 80, 128, 115, 128, 116, 128, 56, 128, 70, 128, 11, 128, 27, 128, 63, 128, 15, 128, 70, 128, 11, 128, 27, 128, 63, 128, 15, 128, 15, 4, 128, 26, 128, 40, 128, 72, 128, 70, 128, 11, 128, 27, 128, 63, 128, 15, 128, 15, 4, 128, 26, 128, 40, 128, 72, 128, 70, 128, 11, 128, 27, 128, 43, 128	an exercise you will find that this will be half com half comma minus half comma minus half and				
ref_find	128, 107, 128, 32, 128, 17, 128, 34, 128, 40, 7, 128, 76, 128, 11, 128, 13, 128, 97, 128, 3, 128, 17, 128, 80, 128, 35, 128, 4, 128, 50, 128, 67, 128, 126, 13, 4, 128, 97, 128, 76, 128, 41, 21, 128, 12, 32, 128, 17, 128, 34, 128, 40, 7, 128, 125, 128, 112, 128, 8, 25, 128, 10, 128, 20, 128, 66, 128, 102, 128, 9, 128, 3, 128	going to find solutions to that wave equation so trying to find out what are the patterns				
ref_find	29, 128, 22, 5, 6, 4, 128, 61, 128, 79, 128, 3, 128, 81, 128, 10, 128, 3, 1, 128, 20, 14, 128, 3, 128, 6, 128, 97, 128, 3, 128, 76, 128, 57, 128, 111, 128, 34, 128, 40, 128, 7, 128, 10, 128, 2, 9, 128, 1, 5, 128, 44, 6, 3, 128, 16, 11, 4, 128, 79, 128, 15, 128, 77, 128, 81, 128, 20, 14, 128, 3, 6, 97, 128	inertia forces at these positions so you can find the net displacement at position				
ref_find	128, 114, 128, 37, 128, 84, 128, 65, 128, 20, 128, 65, 128, 16, 14, 128, 3, 128, 1, 128, 54, 128, 17, 128, 34, 128, 40, 128, 7, 128, 10, 128, 69, 128, 58, 128, 20, 128, 33, 128, 5, 128, 31, 128, 34, 128, 31, 128, 2, 91, 128, 14, 128, 15, 128, 1, 28, 128, 4, 128, 30, 128, 27, 128, 30, 128, 20, 13, 5, 128, 18, 128, 67, 128, 126, 13, 58, 128, 17, 128, 15, 128, 4, 128	now our purpose is to find the real part of f of jomega if i put s equal toma				
ref_first	128, 8, 128, 3, 128, 67, 98, 128, 40, 1, 22, 128, 3, 128, 57, 128, 34, 128, 83, 52, 128, 18, 128, 6, 15, 16, 128, 11, 6, 128, 27, 12, 128, 86, 128, 32, 128, 3, 128, 76, 128, 80, 128, 57, 128, 127, 55, 128, 68, 1, 5, 128, 10, 128, 18, 6, 128, 15, 16, 128, 49, 128, 52, 128, 44, 128, 62, 128, 6, 28, 9, 128	as engineers you first simplify things so that you'll get the simplest design				
ref_first	128, 43, 128, 112, 128, 54, 128, 34, 83, 128, 52, 128, 31, 128, 34, 128, 34, 83, 128, 52, 128, 31, 128, 34, 128, 54, 128, 2, 49, 128, 27, 5, 128, 20, 78, 9, 128, 79, 128, 3, 128, 3, 62, 128, 43, 128, 30, 128, 44, 128, 76, 128	and what is first of f first of f is left princesses and i d so				
ref_first	128, 121, 128, 80, 128, 31, 128, 10, 2, 9, 128, 13, 24, 128, 49, 128, 33, 128, 92, 128, 97, 128, 84, 128, 23, 128, 8, 9, 128, 12, 128, 35, 4, 12, 128, 2, 49, 128, 5, 128, 26, 1, 67, 128, 103, 16, 11, 4, 40, 128, 80, 128, 114, 128, 37, 128, 26, 128, 12, 128, 8, 128, 34, 83, 128, 52, 128, 2, 49, 128, 5, 128, 26, 1, 128	from that of the nuclear motion ok any way let me explain that now my a first let me				
ref_first	128, 86, 128, 32, 128, 3, 128, 35, 19, 6, 51, 128, 70, 16, 128, 16, 48, 128, 10, 128, 2, 89, 128, 12, 128, 92, 128, 15, 128, 77, 128, 61, 128, 67, 128, 103, 128, 4, 128, 16, 128, 64, 128, 54, 128, 8, 128, 36, 128, 21, 128, 101, 128, 18, 128, 13, 9, 128, 43, 128, 115, 128, 20, 22, 128, 3, 128, 59, 128, 70, 128, 3, 128, 107, 128, 9, 128, 1, 128, 125, 128, 10, 128, 34, 83, 52, 128, 86, 32, 128	things which happen the very moment for exap it is a bright sun and this person has gone out the first thing				
ref_first	128, 29, 128, 52, 1, 128, 4, 7, 128, 31, 128, 10, 128, 34, 83, 128, 52, 128, 36, 128, 82, 128, 56, 128, 32, 128, 2, 128, 72, 128, 39, 128, 17, 128, 69, 128, 16, 25, 128, 3, 77, 128, 69, 128, 28, 6, 59, 128, 3, 128, 45, 128, 10, 128, 17, 128, 16, 128, 2, 60, 128, 37, 128, 2, 42, 128, 8, 128, 46, 14, 128, 50, 128, 10, 128, 47, 11, 6, 128, 16, 128	instead of the first bit being used to represent regions on the top row or above the clip				
ref_first	128, 29, 128, 115, 128, 35, 4, 128, 12, 128, 35, 128, 78, 128, 35, 78, 128, 5, 128, 32, 128, 10, 128, 18, 1, 128, 5, 128, 31, 128, 34, 4, 128, 52, 128, 2, 42, 7, 128, 22, 128, 67, 128, 126, 13, 4, 128, 97, 128, 3, 128, 76, 128, 45, 128, 1, 128, 111, 128, 2, 128, 51, 1, 128, 110, 128, 35, 19, 1, 128, 71, 22, 128, 10, 128	in this way wri writing the set of fast order equations so one can check whether the				
ref_getting 	128, 44, 128, 26, 128, 69, 128, 4, 128, 24, 128, 97, 128, 74, 128, 8, 11, 128, 25, 128, 4, 7, 128, 12, 2, 23, 9, 128, 100, 128, 44, 128, 26, 128, 76, 128, 44, 128, 24, 128, 5, 128, 3, 128, 41, 12, 128, 16, 1, 128, 31, 128, 69, 128, 4, 24, 128, 97, 128, 35, 19, 22, 1, 128, 10, 128, 18, 128, 13, 128, 11, 128, 27, 128, 6, 128, 7, 128, 62, 128, 8, 25, 128, 68, 1, 5, 128, 5, 32, 128, 41, 128, 73, 9, 128, 3, 128, 27, 128, 42, 128, 15, 39, 128	d m reaction we already know d m so dcts type of reaction where the sulfides are getting transformed				
ref_getting 	128, 31, 128, 10, 128, 63, 128, 21, 128, 16, 128, 42, 128, 4, 128, 97, 128, 61, 128, 61, 128, 1, 5, 128, 5, 32, 10, 128, 83, 128, 44, 1, 128, 5, 128, 17, 128, 56, 128, 69, 128, 16, 4, 128, 6, 128, 7, 128, 76, 128, 10, 128, 25, 128, 54, 128, 114, 128, 44, 128, 6, 128, 25, 128, 24, 128, 5, 128, 18, 128, 13, 16, 128, 16, 128, 42, 128, 5, 128, 10, 25, 128, 54, 128, 114, 128, 44, 6, 25, 128, 24, 128, 5, 128, 18, 13, 16, 128, 16, 128, 42, 128, 5, 128, 17, 128	of the corporation for foretting their det to be repaid so there is no direct support there is no direct support to				
